公投案,縣市,鄉鎮市區,同意票數,不同意票數,有效票數,無效票數,投票數,投票權人數,投票率(%),有效同意票數對投票權人數百分比(%)
第12案,高雄市,大樹區,"12,360","7,416","19,776","1,194","20,970","36,772",57.03%,33.61%
第12案,高雄市,大社區,"10,157","6,617","16,774",811,"17,585","30,046",58.53%,33.8%
第12案,高雄市,仁武區,"26,855","15,402","42,257","1,566","43,823","73,611",59.53%,36.48%
第12案,高雄市,鳥松區,"14,437","8,605","23,042","1,027","24,069","39,191",61.41%,36.84%
第12案,高雄市,岡山區,"31,396","17,088","48,484","2,081","50,565","81,244",62.24%,38.64%
第12案,高雄市,橋頭區,"12,605","6,914","19,519","1,173","20,692","32,565",63.54%,38.71%
第12案,高雄市,燕巢區,"8,895","5,268","14,163",924,"15,087","26,012",58%,34.2%
第12案,高雄市,田寮區,"1,881","1,163","3,044",265,"3,309","6,671",49.6%,28.2%
第12案,高雄市,阿蓮區,"7,823","5,018","12,841",656,"13,497","24,534",55.01%,31.89%
第12案,高雄市,路竹區,"15,241","9,468","24,709","1,503","26,212","43,850",59.78%,34.76%
第12案,高雄市,湖內區,"8,678","5,207","13,885",732,"14,617","25,729",56.81%,33.73%
第12案,高雄市,茄萣區,"8,596","4,999","13,595",832,"14,427","26,212",55.04%,32.79%
第12案,高雄市,永安區,"4,384","2,848","7,232",408,"7,640","12,001",63.66%,36.53%
第12案,高雄市,彌陀區,"6,341","3,444","9,785",556,"10,341","16,487",62.72%,38.46%
第12案,高雄市,梓官區,"11,724","6,183","17,907",843,"18,750","31,025",60.44%,37.79%
第12案,高雄市,旗山區,"10,513","6,610","17,123","1,209","18,332","31,996",57.29%,32.86%
第12案,高雄市,美濃區,"11,579","6,583","18,162","1,388","19,550","35,311",55.37%,32.79%
第12案,高雄市,六龜區,"3,037","1,953","4,990",511,"5,501","11,501",47.83%,26.41%
第12案,高雄市,甲仙區,"1,563",957,"2,520",207,"2,727","5,417",50.34%,28.85%
第12案,高雄市,杉林區,"2,899","1,789","4,688",364,"5,052","10,607",47.63%,27.33%
第12案,高雄市,內門區,"3,884","2,209","6,093",452,"6,545","13,002",50.34%,29.87%
第12案,高雄市,茂林區,701,376,"1,077",46,"1,123","1,615",69.54%,43.41%
第12案,高雄市,桃源區,"1,448",715,"2,163",62,"2,225","3,498",63.61%,41.4%
第12案,高雄市,那瑪夏區,"1,091",506,"1,597",82,"1,679","2,424",69.27%,45.01%
第12案,新竹縣,竹北市,"47,451","29,863","77,314","2,796","80,110","137,129",58.42%,34.6%
第12案,新竹縣,竹東鎮,"25,690","15,323","41,013","1,817","42,830","78,794",54.36%,32.6%
第12案,新竹縣,新埔鎮,"9,575","5,965","15,540",831,"16,371","28,894",56.66%,33.14%
第12案,新竹縣,關西鎮,"8,351","4,999","13,350",783,"14,133","24,712",57.19%,33.79%
第12案,新竹縣,湖口鄉,"21,141","13,123","34,264","1,569","35,833","63,511",56.42%,33.29%
第12案,新竹縣,新豐鄉,"15,412","9,190","24,602","1,075","25,677","45,790",56.08%,33.66%
第12案,新竹縣,芎林鄉,"6,128","3,570","9,698",545,"10,243","17,293",59.23%,35.44%
第12案,新竹縣,橫山鄉,"3,721","2,562","6,283",459,"6,742","11,346",59.42%,32.8%
第12案,新竹縣,北埔鄉,"2,705","1,710","4,415",247,"4,662","8,180",56.99%,33.07%
第12案,新竹縣,寶山鄉,"4,360","2,952","7,312",373,"7,685","12,973",59.24%,33.61%
第12案,新竹縣,峨眉鄉,"1,841","1,018","2,859",215,"3,074","5,068",60.66%,36.33%
第12案,新竹縣,尖石鄉,"2,848","1,278","4,126",169,"4,295","7,364",58.32%,38.67%
第12案,新竹縣,五峰鄉,"1,357",756,"2,113",90,"2,203","3,997",55.12%,33.95%
第12案,苗栗縣,苗栗市,"25,845","15,204","41,049","1,875","42,924","74,249",57.81%,34.81%
第12案,苗栗縣,苑裡鎮,"12,787","8,254","21,041","1,412","22,453","38,890",57.73%,32.88%
第12案,苗栗縣,通霄鎮,"9,439","5,897","15,336",979,"16,315","29,709",54.92%,31.77%
第12案,苗栗縣,竹南鎮,"22,781","14,039","36,820","1,791","38,611","68,528",56.34%,33.24%
第12案,苗栗縣,頭份市,"28,607","16,747","45,354","2,239","47,593","83,617",56.92%,34.21%
第12案,苗栗縣,後龍鎮,"9,377","6,583","15,960","1,180","17,140","30,948",55.38%,30.3%
第12案,苗栗縣,卓蘭鎮,"4,969","3,120","8,089",602,"8,691","14,772",58.83%,33.64%
第12案,苗栗縣,大湖鄉,"3,818","2,459","6,277",492,"6,769","12,653",53.5%,30.17%
第12案,苗栗縣,公館鄉,"9,209","6,429","15,638","1,092","16,730","28,318",59.08%,32.52%
第12案,苗栗縣,銅鑼鄉,"4,785","3,303","8,088",556,"8,644","15,424",56.04%,31.02%
第12案,苗栗縣,南庄鄉,"2,369","1,691","4,060",283,"4,343","8,784",49.44%,26.97%
第12案,苗栗縣,頭屋鄉,"3,572","2,202","5,774",346,"6,120","9,390",65.18%,38.04%
第12案,苗栗縣,三義鄉,"4,765","2,951","7,716",437,"8,153","13,889",58.7%,34.31%
第12案,苗栗縣,西湖鄉,"1,975","1,337","3,312",223,"3,535","6,382",55.39%,30.95%
第12案,苗栗縣,造橋鄉,"3,616","2,359","5,975",448,"6,423","11,027",58.25%,32.79%
第12案,苗栗縣,三灣鄉,"1,914","1,269","3,183",227,"3,410","5,852",58.27%,32.71%
第12案,苗栗縣,獅潭鄉,"1,166",700,"1,866",177,"2,043","3,968",51.49%,29.39%
第12案,苗栗縣,泰安鄉,"2,032","1,249","3,281",180,"3,461","5,180",66.81%,39.23%
第12案,彰化縣,彰化市,"68,788","41,730","110,518","5,319","115,837","190,995",60.65%,36.02%
第12案,彰化縣,鹿港鎮,"23,865","15,045","38,910","2,357","41,267","70,505",58.53%,33.85%
第12案,彰化縣,和美鎮,"24,610","16,291","40,901","2,138","43,039","75,286",57.17%,32.69%
第12案,彰化縣,線西鄉,"4,751","3,117","7,868",566,"8,434","14,065",59.96%,33.78%
第12案,彰化縣,伸港鄉,"9,720","6,433","16,153","1,105","17,258","30,407",56.76%,31.97%
第12案,彰化縣,福興鄉,"12,923","7,536","20,459","1,253","21,712","39,745",54.63%,32.51%
第12案,彰化縣,秀水鄉,"11,216","7,005","18,221","1,120","19,341","32,394",59.71%,34.62%
第12案,彰化縣,花壇鄉,"14,186","7,908","22,094","1,169","23,263","38,924",59.77%,36.45%
第12案,彰化縣,芬園鄉,"6,526","4,148","10,674",743,"11,417","20,408",55.94%,31.98%
第12案,彰化縣,員林市,"33,660","21,760","55,420","2,842","58,262","102,028",57.1%,32.99%
第12案,彰化縣,溪湖鎮,"15,354","9,656","25,010","1,558","26,568","45,147",58.85%,34.01%
第12案,彰化縣,田中鎮,"12,217","7,289","19,506","1,162","20,668","35,391",58.4%,34.52%
第12案,彰化縣,大村鄉,"10,702","6,852","17,554","1,069","18,623","31,492",59.14%,33.98%
第12案,彰化縣,埔鹽鄉,"9,874","6,020","15,894","1,024","16,918","28,026",60.37%,35.23%
第12案,彰化縣,埔心鄉,"10,317","6,885","17,202","1,169","18,371","29,642",61.98%,34.81%
第12案,彰化縣,永靖鄉,"10,584","7,076","17,660","1,094","18,754","31,239",60.03%,33.88%
第12案,彰化縣,社頭鄉,"11,701","8,292","19,993","1,153","21,146","36,306",58.24%,32.23%
第12案,彰化縣,二水鄉,"4,983","2,611","7,594",547,"8,141","13,339",61.03%,37.36%
第12案,彰化縣,北斗鎮,"9,465","5,748","15,213",968,"16,181","27,593",58.64%,34.3%
第12案,彰化縣,二林鎮,"13,211","8,115","21,326","1,492","22,818","42,976",53.09%,30.74%
第12案,彰化縣,田尾鄉,"7,969","4,930","12,899",879,"13,778","23,179",59.44%,34.38%
第12案,彰化縣,埤頭鄉,"7,832","5,029","12,861","1,146","14,007","25,677",54.55%,30.5%
第12案,彰化縣,芳苑鄉,"8,085","5,166","13,251","1,238","14,489","29,291",49.47%,27.6%
第12案,彰化縣,大城鄉,"3,240","2,026","5,266",488,"5,754","14,713",39.11%,22.02%
第12案,彰化縣,竹塘鄉,"3,755","2,717","6,472",558,"7,030","12,821",54.83%,29.29%
第12案,彰化縣,溪州鄉,"7,390","4,986","12,376",905,"13,281","25,405",52.28%,29.09%
第12案,南投縣,南投市,"30,688","18,233","48,921","2,370","51,291","84,328",60.82%,36.39%
第12案,南投縣,埔里鎮,"22,909","14,653","37,562","2,218","39,780","68,763",57.85%,33.32%
第12案,南投縣,草屯鎮,"27,781","18,359","46,140","2,277","48,417","82,922",58.39%,33.5%
第12案,南投縣,竹山鎮,"14,445","10,060","24,505","1,530","26,035","47,034",55.35%,30.71%
第12案,南投縣,集集鎮,"2,990","2,213","5,203",387,"5,590","9,611",58.16%,31.11%
第12案,南投縣,名間鄉,"11,518","7,257","18,775","1,354","20,129","33,408",60.25%,34.48%
第12案,南投縣,鹿谷鄉,"4,657","3,348","8,005",616,"8,621","15,941",54.08%,29.21%
第12案,南投縣,中寮鄉,"4,197","2,902","7,099",559,"7,658","13,181",58.1%,31.84%
第12案,南投縣,魚池鄉,"4,019","3,031","7,050",600,"7,650","13,958",54.81%,28.79%
第12案,南投縣,國姓鄉,"5,242","3,437","8,679",657,"9,336","16,597",56.25%,31.58%
第12案,南投縣,水里鄉,"4,880","3,232","8,112",557,"8,669","15,458",56.08%,31.57%
第12案,南投縣,信義鄉,"5,655","2,337","7,992",504,"8,496","13,299",63.88%,42.52%
第12案,南投縣,仁愛鄉,"4,375","2,503","6,878",397,"7,275","12,589",57.79%,34.75%
第12案,雲林縣,斗六市,"29,976","19,543","49,519","2,309","51,828","89,761",57.74%,33.4%
第12案,雲林縣,斗南鎮,"12,689","8,180","20,869","1,151","22,020","38,138",57.74%,33.27%
第12案,雲林縣,虎尾鎮,"17,512","12,095","29,607","1,658","31,265","58,167",53.75%,30.11%
第12案,雲林縣,西螺鎮,"11,288","7,807","19,095","1,400","20,495","38,142",53.73%,29.59%
第12案,雲林縣,土庫鎮,"7,060","4,803","11,863","1,003","12,866","24,412",52.7%,28.92%
第12案,雲林縣,北港鎮,"10,470","6,854","17,324","1,331","18,655","33,958",54.94%,30.83%
第12案,雲林縣,古坑鄉,"8,316","5,364","13,680","1,001","14,681","27,477",53.43%,30.27%
第12案,雲林縣,大埤鄉,"4,704","3,339","8,043",570,"8,613","16,509",52.17%,28.49%
第12案,雲林縣,莿桐鄉,"7,420","5,098","12,518","1,094","13,612","24,570",55.4%,30.2%
第12案,雲林縣,林內鄉,"4,885","3,241","8,126",715,"8,841","15,551",56.85%,31.41%
第12案,雲林縣,二崙鄉,"6,035","4,230","10,265",995,"11,260","23,367",48.19%,25.83%
第12案,雲林縣,崙背鄉,"5,759","3,820","9,579",797,"10,376","21,050",49.29%,27.36%
第12案,雲林縣,麥寮鄉,"10,179","6,888","17,067","1,232","18,299","37,119",49.3%,27.42%
第12案,雲林縣,東勢鄉,"3,613","2,464","6,077",553,"6,630","13,239",50.08%,27.29%
第12案,雲林縣,褒忠鄉,"3,162","2,292","5,454",428,"5,882","11,381",51.68%,27.78%
第12案,雲林縣,臺西鄉,"5,471","3,451","8,922",809,"9,731","21,125",46.06%,25.9%
第12案,雲林縣,元長鄉,"5,559","3,683","9,242",736,"9,978","22,830",43.71%,24.35%
第12案,雲林縣,四湖鄉,"4,509","3,123","7,632",766,"8,398","20,983",40.02%,21.49%
第12案,雲林縣,口湖鄉,"6,409","4,123","10,532","1,122","11,654","24,193",48.17%,26.49%
第12案,雲林縣,水林鄉,"5,377","3,703","9,080",863,"9,943","22,508",44.18%,23.89%
第12案,嘉義縣,太保市,"9,940","6,382","16,322",830,"17,152","31,568",54.33%,31.49%
第12案,嘉義縣,朴子市,"10,800","6,642","17,442","1,017","18,459","35,191",52.45%,30.69%
第12案,嘉義縣,布袋鎮,"6,938","4,035","10,973",850,"11,823","23,965",49.33%,28.95%
第12案,嘉義縣,大林鎮,"8,075","5,293","13,368",815,"14,183","26,922",52.68%,29.99%
第12案,嘉義縣,民雄鄉,"19,293","11,995","31,288","1,794","33,082","61,209",54.05%,31.52%
第12案,嘉義縣,溪口鄉,"4,086","2,363","6,449",445,"6,894","13,105",52.61%,31.18%
第12案,嘉義縣,新港鄉,"8,563","5,310","13,873","1,096","14,969","27,342",54.75%,31.32%
第12案,嘉義縣,六腳鄉,"5,217","3,177","8,394",643,"9,037","20,821",43.4%,25.06%
第12案,嘉義縣,東石鄉,"5,453","2,984","8,437",768,"9,205","21,915",42%,24.88%
第12案,嘉義縣,義竹鄉,"4,946","2,911","7,857",681,"8,538","16,647",51.29%,29.71%
第12案,嘉義縣,鹿草鄉,"3,713","2,360","6,073",556,"6,629","13,937",47.56%,26.64%
第12案,嘉義縣,水上鄉,"13,744","8,519","22,263","1,312","23,575","43,857",53.75%,31.34%
第12案,嘉義縣,中埔鄉,"10,814","6,970","17,784",991,"18,775","39,139",47.97%,27.63%
第12案,嘉義縣,竹崎鄉,"9,650","5,888","15,538",926,"16,464","31,228",52.72%,30.9%
第12案,嘉義縣,梅山鄉,"5,569","3,298","8,867",660,"9,527","17,083",55.77%,32.6%
第12案,嘉義縣,番路鄉,"3,278","2,041","5,319",383,"5,702","10,156",56.14%,32.28%
第12案,嘉義縣,大埔鄉,"1,280",822,"2,102",98,"2,200","3,999",55.01%,32.01%
第12案,嘉義縣,阿里山鄉,"1,277",835,"2,112",90,"2,202","4,691",46.94%,27.22%
第12案,屏東縣,屏東市,"53,638","33,114","86,752","4,173","90,925","170,148",53.44%,31.52%
第12案,屏東縣,潮州鎮,"14,538","8,696","23,234","1,257","24,491","46,444",52.73%,31.3%
第12案,屏東縣,東港鎮,"11,765","7,877","19,642","1,502","21,144","39,495",53.54%,29.79%
第12案,屏東縣,恆春鎮,"6,419","4,918","11,337",776,"12,113","25,661",47.2%,25.01%
第12案,屏東縣,萬丹鄉,"13,536","8,355","21,891","1,574","23,465","43,478",53.97%,31.13%
第12案,屏東縣,長治鄉,"8,236","5,259","13,495",958,"14,453","26,256",55.05%,31.37%
第12案,屏東縣,麟洛鄉,"3,544","2,001","5,545",321,"5,866","9,970",58.84%,35.55%
第12案,屏東縣,九如鄉,"5,776","3,695","9,471",895,"10,366","19,132",54.18%,30.19%
第12案,屏東縣,里港鄉,"6,740","4,569","11,309",985,"12,294","22,128",55.56%,30.46%
第12案,屏東縣,鹽埔鄉,"6,444","4,323","10,767",873,"11,640","22,402",51.96%,28.77%
第12案,屏東縣,高樹鄉,"5,804","3,989","9,793","1,003","10,796","21,697",49.76%,26.75%
第12案,屏東縣,萬巒鄉,"5,074","3,640","8,714",665,"9,379","17,945",52.27%,28.28%
第12案,屏東縣,內埔鄉,"13,292","8,506","21,798","1,402","23,200","47,558",48.78%,27.95%
第12案,屏東縣,竹田鄉,"5,021","3,157","8,178",678,"8,856","15,353",57.68%,32.7%
第12案,屏東縣,新埤鄉,"2,559","1,660","4,219",377,"4,596","9,033",50.88%,28.33%
第12案,屏東縣,枋寮鄉,"6,469","4,070","10,539",982,"11,521","21,394",53.85%,30.24%
第12案,屏東縣,新園鄉,"9,147","5,827","14,974","1,277","16,251","30,706",52.92%,29.79%
第12案,屏東縣,崁頂鄉,"3,662","2,334","5,996",489,"6,485","12,270",52.85%,29.85%
第12案,屏東縣,林邊鄉,"5,149","3,009","8,158",667,"8,825","15,691",56.24%,32.81%
第12案,屏東縣,南州鄉,"2,779","1,937","4,716",408,"5,124","9,479",54.06%,29.32%
第12案,屏東縣,佳冬鄉,"4,877","2,953","7,830",739,"8,569","17,063",50.22%,28.58%
第12案,屏東縣,琉球鄉,"2,812","1,611","4,423",331,"4,754","10,706",44.41%,26.27%
第12案,屏東縣,車城鄉,"1,698","1,269","2,967",242,"3,209","7,595",42.25%,22.36%
第12案,屏東縣,滿州鄉,"1,674","1,268","2,942",114,"3,056","7,206",42.41%,23.23%
第12案,屏東縣,枋山鄉,"1,441",899,"2,340",185,"2,525","4,856",52%,29.67%
第12案,屏東縣,三地門鄉,"2,519","1,274","3,793",197,"3,990","6,373",62.61%,39.53%
第12案,屏東縣,霧臺鄉,"1,573",609,"2,182",80,"2,262","2,950",76.68%,53.32%
第12案,屏東縣,瑪家鄉,"2,430","1,185","3,615",159,"3,774","5,663",66.64%,42.91%
第12案,屏東縣,泰武鄉,"1,763",992,"2,755",140,"2,895","4,344",66.64%,40.58%
第12案,屏東縣,來義鄉,"2,423","1,131","3,554",192,"3,746","6,257",59.87%,38.72%
第12案,屏東縣,春日鄉,"1,095",605,"1,700",48,"1,748","3,923",44.56%,27.91%
第12案,屏東縣,獅子鄉,"1,814",748,"2,562",97,"2,659","4,230",62.86%,42.88%
第12案,屏東縣,牡丹鄉,"1,042",744,"1,786",66,"1,852","4,314",42.93%,24.15%
第12案,宜蘭縣,宜蘭市,"25,673","17,297","42,970","2,111","45,081","79,167",56.94%,32.43%
第12案,宜蘭縣,羅東鎮,"18,673","12,875","31,548","1,743","33,291","57,686",57.71%,32.37%
第12案,宜蘭縣,蘇澳鎮,"10,125","7,865","17,990","1,472","19,462","34,512",56.39%,29.34%
第12案,宜蘭縣,頭城鎮,"7,489","5,317","12,806","1,006","13,812","25,135",54.95%,29.8%
第12案,宜蘭縣,礁溪鄉,"9,089","6,782","15,871","1,029","16,900","31,084",54.37%,29.24%
第12案,宜蘭縣,壯圍鄉,"6,976","4,687","11,663",891,"12,554","21,447",58.53%,32.53%
第12案,宜蘭縣,員山鄉,"8,311","5,917","14,228","1,048","15,276","28,131",54.3%,29.54%
第12案,宜蘭縣,冬山鄉,"13,199","9,936","23,135","1,316","24,451","45,405",53.85%,29.07%
第12案,宜蘭縣,五結鄉,"10,228","7,412","17,640","1,126","18,766","34,892",53.78%,29.31%
第12案,宜蘭縣,三星鄉,"5,535","3,892","9,427",648,"10,075","19,051",52.88%,29.05%
第12案,宜蘭縣,大同鄉,"2,548",867,"3,415",145,"3,560","4,935",72.14%,51.63%
第12案,宜蘭縣,南澳鄉,"1,900",879,"2,779",128,"2,907","4,644",62.6%,40.91%
第12案,花蓮縣,花蓮市,"27,589","16,285","43,874","1,893","45,767","84,807",53.97%,32.53%
第12案,花蓮縣,鳳林鎮,"3,083","1,883","4,966",414,"5,380","9,676",55.6%,31.86%
第12案,花蓮縣,玉里鎮,"5,927","3,385","9,312",821,"10,133","20,650",49.07%,28.7%
第12案,花蓮縣,新城鄉,"5,272","3,498","8,770",504,"9,274","17,029",54.46%,30.96%
第12案,花蓮縣,吉安鄉,"22,580","14,036","36,616","1,685","38,301","72,116",53.11%,31.31%
第12案,花蓮縣,壽豐鄉,"4,999","3,250","8,249",625,"8,874","15,847",56%,31.55%
第12案,花蓮縣,光復鄉,"3,542","2,088","5,630",434,"6,064","11,417",53.11%,31.02%
第12案,花蓮縣,豐濱鄉,"1,271",774,"2,045",132,"2,177","4,395",49.53%,28.92%
第12案,花蓮縣,瑞穗鄉,"2,976","1,826","4,802",425,"5,227","10,279",50.85%,28.95%
第12案,花蓮縣,富里鄉,"2,126","1,656","3,782",391,"4,173","9,065",46.03%,23.45%
第12案,花蓮縣,秀林鄉,"3,727","2,490","6,217",348,"6,565","12,562",52.26%,29.67%
第12案,花蓮縣,萬榮鄉,"1,857","1,096","2,953",176,"3,129","5,269",59.39%,35.24%
第12案,花蓮縣,卓溪鄉,"1,731","1,067","2,798",152,"2,950","4,947",59.63%,34.99%
第12案,臺東縣,臺東市,"28,924","16,982","45,906","2,266","48,172","87,803",54.86%,32.94%
第12案,臺東縣,成功鎮,"3,596","2,245","5,841",480,"6,321","12,426",50.87%,28.94%
第12案,臺東縣,關山鎮,"2,116","1,392","3,508",240,"3,748","7,509",49.91%,28.18%
第12案,臺東縣,卑南鄉,"4,552","2,778","7,330",596,"7,926","14,976",52.92%,30.4%
第12案,臺東縣,鹿野鄉,"1,689","1,217","2,906",232,"3,138","6,936",45.24%,24.35%
第12案,臺東縣,池上鄉,"1,704","1,294","2,998",306,"3,304","7,162",46.13%,23.79%
第12案,臺東縣,東河鄉,"1,990","1,176","3,166",248,"3,414","7,635",44.72%,26.06%
第12案,臺東縣,長濱鄉,"1,623",931,"2,554",262,"2,816","6,484",43.43%,25.03%
第12案,臺東縣,太麻里鄉,"3,374","1,678","5,052",299,"5,351","9,666",55.36%,34.91%
第12案,臺東縣,大武鄉,"1,903",682,"2,585",198,"2,783","5,266",52.85%,36.14%
第12案,臺東縣,綠島鄉,945,585,"1,530",62,"1,592","3,579",44.48%,26.4%
第12案,臺東縣,海端鄉,"1,002",680,"1,682",89,"1,771","3,278",54.03%,30.57%
第12案,臺東縣,延平鄉,"1,062",548,"1,610",97,"1,707","2,930",58.26%,36.25%
第12案,臺東縣,金峰鄉,"1,285",627,"1,912",89,"2,001","3,028",66.08%,42.44%
第12案,臺東縣,達仁鄉,"1,207",566,"1,773",102,"1,875","3,137",59.77%,38.48%
第12案,臺東縣,蘭嶼鄉,854,741,"1,595",80,"1,675","4,181",40.06%,20.43%
第12案,澎湖縣,馬公市,"15,859","9,152","25,011","1,337","26,348","53,655",49.11%,29.56%
第12案,澎湖縣,湖西鄉,"3,346","1,956","5,302",346,"5,648","12,741",44.33%,26.26%
第12案,澎湖縣,白沙鄉,"2,284","1,171","3,455",241,"3,696","8,625",42.85%,26.48%
第12案,澎湖縣,西嶼鄉,"1,439",866,"2,305",260,"2,565","7,382",34.75%,19.49%
第12案,澎湖縣,望安鄉,"1,177",616,"1,793",121,"1,914","4,628",41.36%,25.43%
第12案,澎湖縣,七美鄉,553,396,949,83,"1,032","3,374",30.59%,16.39%
第12案,金門縣,金城鎮,"8,177","4,455","12,632",612,"13,244","37,815",35.02%,21.62%
第12案,金門縣,金沙鎮,"4,266","1,966","6,232",342,"6,574","18,560",35.42%,22.98%
第12案,金門縣,金湖鎮,"5,863","3,118","8,981",515,"9,496","25,915",36.64%,22.62%
第12案,金門縣,金寧鄉,"5,802","3,895","9,697",496,"10,193","28,162",36.19%,20.6%
第12案,金門縣,烈嶼鄉,"2,711","1,293","4,004",251,"4,255","11,676",36.44%,23.22%
第12案,金門縣,烏坵鄉,113,46,159,6,165,567,29.1%,19.93%
第12案,連江縣,南竿鄉,"2,094","1,064","3,158",125,"3,283","6,461",50.81%,32.41%
第12案,連江縣,北竿鄉,713,347,"1,060",51,"1,111","2,125",52.28%,33.55%
第12案,連江縣,莒光鄉,467,289,756,36,792,"1,481",53.48%,31.53%
第12案,連江縣,東引鄉,325,225,550,28,578,"1,138",50.79%,28.56%
第12案,基隆市,中正區,"12,322","8,255","20,577","1,109","21,686","45,545",47.61%,27.05%
第12案,基隆市,七堵區,"14,532","9,137","23,669","1,092","24,761","46,256",53.53%,31.42%
第12案,基隆市,暖暖區,"10,325","6,694","17,019",640,"17,659","33,225",53.15%,31.08%
第12案,基隆市,仁愛區,"11,401","7,385","18,786","1,047","19,833","36,738",53.98%,31.03%
第12案,基隆市,中山區,"12,443","8,188","20,631",959,"21,590","41,856",51.58%,29.73%
第12案,基隆市,安樂區,"21,005","14,155","35,160","1,473","36,633","70,396",52.04%,29.84%
第12案,基隆市,信義區,"14,305","9,162","23,467",869,"24,336","46,014",52.89%,31.09%
第12案,新竹市,東區,"54,827","35,588","90,415","3,640","94,055","163,757",57.44%,33.48%
第12案,新竹市,北區,"40,483","25,931","66,414","3,115","69,529","123,122",56.47%,32.88%
第12案,新竹市,香山區,"21,414","13,573","34,987","1,784","36,771","64,896",56.66%,33%
第12案,嘉義市,東區,"33,406","20,228","53,634","2,073","55,707","100,647",55.35%,33.19%
第12案,嘉義市,西區,"40,415","24,335","64,750","2,648","67,398","120,906",55.74%,33.43%
第13案,臺北市,松山區,"40,881","56,482","97,363","3,680","101,043","169,278",59.69%,24.15%
第13案,臺北市,信義區,"45,488","61,995","107,483","4,139","111,622","190,444",58.61%,23.89%
第13案,臺北市,大安區,"58,256","83,873","142,129","4,959","147,088","252,645",58.22%,23.06%
第13案,臺北市,中山區,"50,424","57,828","108,252","4,297","112,549","195,148",57.67%,25.84%
第13案,臺北市,中正區,"31,050","41,827","72,877","2,631","75,508","128,292",58.86%,24.2%
第13案,臺北市,大同區,"31,712","29,039","60,751","2,688","63,439","107,557",58.98%,29.48%
第13案,臺北市,萬華區,"41,906","46,381","88,287","4,181","92,468","164,020",56.38%,25.55%
第13案,臺北市,文山區,"50,746","80,777","131,523","5,573","137,096","227,211",60.34%,22.33%
第13案,臺北市,南港區,"25,347","32,271","57,618","2,196","59,814","101,907",58.69%,24.87%
第13案,臺北市,內湖區,"57,038","77,667","134,705","4,713","139,418","236,824",58.87%,24.08%
第13案,臺北市,士林區,"63,841","70,300","134,141","5,829","139,970","241,854",57.87%,26.4%
第13案,臺北市,北投區,"53,284","63,271","116,555","4,852","121,407","213,250",56.93%,24.99%
第13案,新北市,板橋區,"119,330","132,183","251,513","12,943","264,456","463,411",57.07%,25.75%
第13案,新北市,三重區,"89,027","87,000","176,027","9,721","185,748","329,846",56.31%,26.99%
第13案,新北市,中和區,"78,167","112,782","190,949","8,680","199,629","355,978",56.08%,21.96%
第13案,新北市,永和區,"40,769","66,263","107,032","4,634","111,666","187,798",59.46%,21.71%
第13案,新北市,新莊區,"90,070","98,684","188,754","9,447","198,201","344,981",57.45%,26.11%
第13案,新北市,新店區,"53,250","91,275","144,525","5,978","150,503","264,053",57%,20.17%
第13案,新北市,樹林區,"38,133","42,649","80,782","4,017","84,799","152,102",55.75%,25.07%
第13案,新北市,鶯歌區,"17,470","19,181","36,651","1,688","38,339","71,645",53.51%,24.38%
第13案,新北市,三峽區,"21,638","26,238","47,876","2,325","50,201","94,291",53.24%,22.95%
第13案,新北市,淡水區,"31,732","43,633","75,365","3,072","78,437","147,272",53.26%,21.55%
第13案,新北市,汐止區,"37,770","50,984","88,754","3,901","92,655","173,831",53.3%,21.73%
第13案,新北市,瑞芳區,"7,444","8,779","16,223","1,049","17,272","35,036",49.3%,21.25%
第13案,新北市,土城區,"48,850","56,610","105,460","5,222","110,682","200,783",55.13%,24.33%
第13案,新北市,蘆洲區,"42,796","42,780","85,576","4,485","90,061","167,457",53.78%,25.56%
第13案,新北市,五股區,"18,149","18,856","37,005","1,981","38,986","72,443",53.82%,25.05%
第13案,新北市,泰山區,"15,601","18,739","34,340","1,473","35,813","64,252",55.74%,24.28%
第13案,新北市,林口區,"19,747","26,923","46,670","1,802","48,472","86,203",56.23%,22.91%
第13案,新北市,深坑區,"4,965","6,014","10,979",517,"11,496","20,624",55.74%,24.07%
第13案,新北市,石碇區,"1,705","1,647","3,352",203,"3,555","6,861",51.81%,24.85%
第13案,新北市,坪林區,"1,546","1,354","2,900",180,"3,080","5,891",52.28%,26.24%
第13案,新北市,三芝區,"4,301","5,036","9,337",532,"9,869","20,119",49.05%,21.38%
第13案,新北市,石門區,"2,352","2,829","5,181",321,"5,502","10,528",52.26%,22.34%
第13案,新北市,八里區,"7,582","9,078","16,660",897,"17,557","32,970",53.25%,23%
第13案,新北市,平溪區,"1,025",955,"1,980",138,"2,118","4,321",49.02%,23.72%
第13案,新北市,雙溪區,"1,751","1,942","3,693",255,"3,948","7,999",49.36%,21.89%
第13案,新北市,貢寮區,"2,671","2,216","4,887",308,"5,195","11,279",46.06%,23.68%
第13案,新北市,金山區,"4,298","4,686","8,984",694,"9,678","18,978",51%,22.65%
第13案,新北市,萬里區,"4,214","4,872","9,086",610,"9,696","19,297",50.25%,21.84%
第13案,新北市,烏來區,"1,161","1,575","2,736",120,"2,856","5,264",54.26%,22.06%
第13案,桃園市,桃園區,"76,752","100,610","177,362","6,677","184,039","359,790",51.15%,21.33%
第13案,桃園市,中壢區,"65,661","104,366","170,027","7,201","177,228","334,402",53%,19.64%
